,id,m1,m2,size,x0.25,x0.2,x0.15
26,27,0.5323383084577115,113.76616915422886,"(1032, 774)",0.17943501472473145,0.174957275390625,0.1558058261871338
27,28,0.6577181208053692,117.5503355704698,"(1032, 774)",0.17648696899414062,0.17068791389465332,0.1522078514099121
28,29,0.4086444007858546,114.95284872298625,"(1032, 774)",0.23771905899047852,0.23184680938720703,0.1772449016571045
29,30,0.10314465408805032,112.26415094339623,"(1032, 774)",0.584928035736084,0.477496862411499,0.3008737564086914
30,31,0.39344262295081966,102.49180327868852,"(1032, 774)",0.1726090908050537,0.1664748191833496,0.15009188652038574
31,32,0.3373015873015873,116.72222222222223,"(1032, 774)",0.1899271011352539,0.18423080444335938,0.16100192070007324
32,33,0.49683544303797467,119.53481012658227,"(1032, 774)",0.1920609474182129,0.18100905418395996,0.1607201099395752
33,34,0.46153846153846156,117.04807692307692,"(1032, 774)",0.17201995849609375,0.16651201248168945,0.15154504776000977
34,35,0.20610687022900764,107.63685932388222,"(1032, 774)",0.4050159454345703,0.34631896018981934,0.23573994636535645
35,36,0.13024282560706402,112.51361295069904,"(1032, 774)",1.1225452423095703,0.914475679397583,0.471376895904541
36,37,0.31140350877192985,116.05263157894737,"(1032, 774)",0.19314908981323242,0.18303704261779785,0.16172385215759277
37,38,0.5142857142857142,117.85714285714286,"(1032, 774)",0.1724109649658203,0.16605806350708008,0.14965605735778809
38,39,0.15047879616963064,115.10533515731875,"(1032, 774)",1.2578420639038086,0.9389927387237549,0.4786961078643799
39,40,0.5558546433378196,93.98654104979812,"(1032, 774)",0.26763916015625,0.2551398277282715,0.1970829963684082
40,41,0.11870503597122302,107.33453237410072,"(1032, 774)",0.32744503021240234,0.2916140556335449,0.23570799827575684
41,42,0.281437125748503,113.54890219560878,"(1032, 774)",0.28378915786743164,0.23401713371276855,0.18799519538879395
42,43,0.7253886010362695,121.99481865284974,"(1032, 774)",0.18146800994873047,0.17142415046691895,0.1527271270751953
43,44,0.09854604200323101,111.9458804523425,"(1032, 774)",0.7520830631256104,0.672400951385498,0.3958263397216797
44,45,0.48314606741573035,114.0,"(1032, 774)",0.17510104179382324,0.16830706596374512,0.15169191360473633
45,46,0.45351043643263755,117.96584440227704,"(1032, 774)",0.25423192977905273,0.2558310031890869,0.18729090690612793
46,47,0.17027027027027028,109.74864864864865,"(1032, 774)",0.25095081329345703,0.23065185546875,0.19493484497070312
47,48,0.17727272727272728,106.9,"(1032, 774)",0.20644807815551758,0.20364904403686523,0.16805100440979004
48,49,0.3185840707964602,122.14159292035399,"(1032, 774)",0.17635512351989746,0.16973114013671875,0.15331768989562988
49,50,-1.0,-1.0,"(1032, 774)",0.16328763961791992,0.16112065315246582,0.14460396766662598
50,51,0.22740524781341107,112.36443148688046,"(1032, 774)",0.21837806701660156,0.20430707931518555,0.16618585586547852
51,52,0.091324200913242,117.63405088062622,"(774, 1032)",1.5632579326629639,1.2070260047912598,0.5913398265838623
52,53,0.1392857142857143,117.22589285714285,"(1032, 774)",0.5723378658294678,0.5166029930114746,0.3188049793243408
53,54,0.7272727272727273,111.60606060606061,"(1032, 774)",0.16386818885803223,0.16424870491027832,0.14862585067749023
54,55,0.5384615384615384,101.92307692307692,"(1032, 774)",0.15892934799194336,0.16226410865783691,0.14714527130126953
55,56,0.8,104.6,"(1032, 774)",0.159743070602417,0.1623852252960205,0.14690303802490234
56,57,0.23299319727891157,112.9795918367347,"(1032, 774)",0.2801501750946045,0.2686910629272461,0.1905357837677002
57,58,0.4577259475218659,118.65306122448979,"(1032, 774)",0.19347095489501953,0.20198607444763184,0.16250014305114746
58,59,0.43478260869565216,121.30434782608695,"(774, 1032)",0.17479872703552246,0.17638206481933594,0.1566159725189209
59,60,0.2609603340292276,111.0375782881002,"(1032, 774)",0.25487589836120605,0.2310469150543213,0.19244170188903809
60,61,0.375,109.28125,"(1032, 774)",0.1741960048675537,0.1679399013519287,0.1564021110534668
61,62,0.09909228441754916,115.99319213313161,"(1032, 774)",0.7797980308532715,0.6680898666381836,0.4028148651123047
62,63,0.22056631892697467,114.20119225037257,"(1032, 774)",0.30448198318481445,0.25437021255493164,0.1951131820678711
63,64,0.16812865497076024,115.21491228070175,"(1032, 774)",0.34767794609069824,0.2879331111907959,0.21651697158813477
64,65,0.09023668639053255,115.41198224852072,"(1032, 774)",0.8545012474060059,0.6927039623260498,0.429642915725708
65,66,0.19158878504672897,108.85981308411215,"(1032, 774)",0.201524019241333,0.18267512321472168,0.16876482963562012
66,67,0.7333333333333333,123.97037037037038,"(1032, 774)",0.1688530445098877,0.16088390350341797,0.14938068389892578
67,68,0.7916666666666666,92.20833333333333,"(1032, 774)",0.16057777404785156,0.15562891960144043,0.14763784408569336
68,69,0.14947683109118087,108.30493273542601,"(1032, 774)",0.3218271732330322,0.2837510108947754,0.22801589965820312
69,70,0.30679156908665106,116.54332552693208,"(1032, 774)",0.20656681060791016,0.19270610809326172,0.1745741367340088
70,71,0.3155080213903743,116.23529411764706,"(1032, 774)",0.19894194602966309,0.18701720237731934,0.16970396041870117
71,72,0.48,118.03692307692307,"(1032, 774)",0.18591690063476562,0.17816400527954102,0.16088223457336426
